1338051713.79,2012_05_26_18:01:53,+67.477,+196.26,+183.91,+196.57,+202.37,+204.43,+198.48,+200.02,179.501541,-5.492
1338052041.79,2012_05_26_18:07:21,+66.353,+193.65,+180.76,+193.98,+199.77,+201.85,+195.94,+197.49,177.568939,-5.507
1338052369.77,2012_05_26_18:12:49,+65.465,+191.07,+177.65,+191.41,+197.18,+199.29,+193.39,+194.96,175.649338,-5.524
1338052697.74,2012_05_26_18:18:17,+64.650,+188.50,+174.60,+188.87,+194.60,+196.72,+190.85,+192.44,173.765350,-5.543
1338053025.73,2012_05_26_18:23:45,+64.060,+185.96,+171.60,+186.34,+192.03,+194.18,+188.32,+189.92,171.881088,-5.576
1338053353.74,2012_05_26_18:29:13,+63.231,+183.45,+168.66,+183.82,+189.48,+191.64,+185.80,+187.42,170.009857,-5.599
1338053681.73,2012_05_26_18:34:41,+62.478,+180.95,+165.77,+181.31,+186.95,+189.13,+183.32,+184.96,168.149277,-5.625
1338054009.73,2012_05_26_18:40:09,+61.953,+178.47,+162.93,+178.82,+184.43,+186.64,+180.88,+182.52,166.301315,-5.663
1338054337.71,2012_05_26_18:45:37,+61.786,+176.00,+160.13,+176.34,+181.94,+184.15,+178.43,+180.09,164.467850,-5.699
1338054665.71,2012_05_26_18:51:05,+61.588,+173.54,+157.28,+173.87,+179.46,+181.66,+175.99,+177.66,162.649414,-5.735
1338054993.7,2012_05_26_18:56:33,+61.200,+171.10,+154.40,+171.43,+176.97,+179.17,+173.56,+175.24,160.849594,-5.779
1338055321.68,2012_05_26_19:02:01,+60.946,+168.68,+151.53,+169.00,+174.49,+176.70,+171.15,+172.85,159.066513,-5.825
1338055649.67,2012_05_26_19:07:29,+60.490,+166.23,+148.67,+166.56,+172.04,+174.24,+168.84,+170.55,157.292114,-5.881
1338055977.67,2012_05_26_19:12:57,+59.974,+163.78,+145.83,+164.11,+169.61,+171.81,+166.64,+168.35,155.517929,-5.933
1338056305.66,2012_05_26_19:18:25,+59.453,+161.35,+143.02,+161.67,+167.19,+169.40,+164.40,+166.12,153.751740,-5.999
