4.0,-76.76
4.004,-76.85
4.008,-76.84
4.012,-76.93
4.016,-76.93
4.02,-76.96
4.024,-76.99
4.028,-77.01
4.032,-76.85
4.036,-76.86
4.04,-77.07
4.044,-77.03
4.048,-77.07
4.052,-76.98
4.056,-77.16
4.06,-77.22
4.064,-77.13
4.068,-77.15
4.072,-77.21
4.076,-77.28
4.08,-77.28
4.084,-77.38
4.088,-77.2
4.092,-77.34
4.096,-77.45
4.1,-77.5
4.104,-77.39
4.108,-77.42
4.112,-77.38
4.116,-77.35
4.12,-77.4
4.124,-77.28
4.128,-77.46
4.132,-77.4
4.136,-77.5
4.14,-77.5
4.144,-77.24
4.148,-77.47
4.152,-77.51
4.156,-77.47
4.16,-77.62
4.164,-77.53
4.168,-77.34
4.172,-77.51
4.176,-77.47
4.18,-77.46
4.184,-77.4
4.188,-77.35
4.192,-77.43
4.196,-77.33
4.2,-77.19
4.204,-77.19
4.208,-76.91
4.212,-76.78
4.216,-76.43
4.22,-75.93
4.224,-75.58
4.228,-75.21
4.232,-74.89
4.236,-74.73
4.24,-74.51
4.244,-74.46
4.248,-74.22
4.252,-74.05
4.256,-74.07
4.26,-74.0
4.264,-73.88
4.268,-73.94
4.272,-73.61
4.276,-73.54
4.28,-73.62
4.284,-73.48
4.288,-73.26
4.292,-73.28
4.296,-73.12
4.3,-72.96
4.304,-72.9
4.308,-72.9
4.312,-72.58
4.316,-72.46
4.32,-72.23
4.324,-72.19
4.328,-72.0
4.332,-71.89
4.336,-71.73
4.34,-71.54
4.344,-71.39
4.348,-71.19
4.352,-71.09
4.356,-70.81
4.36,-70.81
4.364,-70.5
4.368,-70.39
4.372,-70.16
4.376,-69.87
4.38,-69.65
4.384,-69.43
4.388,-69.25
4.392,-68.91
4.396,-68.7
4.4,-68.49
4.404,-68.22
4.408,-67.89
4.412,-67.55
4.416,-67.38
4.42,-67.31
4.424,-67.04
4.428,-66.7
4.432,-66.52
4.436,-66.24
4.44,-65.97
4.444,-65.75
4.448,-65.5
4.452,-65.28
4.456,-65.04
